"id","loannumber","borrowername","borroweraddress","borrowercity","borrowerstate","borrowerzip","loanstatusdate","loanstatus","initialapprovalamount","currentapprovalamount","currentapprovalamount-2","servicinglendername","hubzoneindicator","businessagedescription","jobsreported","naicscode","lmiindicator","businesstype","forgivenessamount","forgivenessdate"
1784,7925888904,"GLOBAL MD MULTI SERVICE INC","1421 Dr Martin L King Jr Blvd","Bronx","NY","10452-4069","10/21/2021","Paid in Full",147117,147117,147117,"TD Bank, National Association","Y","Existing or more than 2 years old",18,452319,"Y","Corporation",147631.91,"09/17/2021"
2483,4263788404,"GLOBAL ENTERPRISES SERVICES CORP","209 Grand Concourse","Bronx","NY","10451","11/03/2021","Paid in Full",145832,145832,145832,"Legacy Bank","Y","Existing or more than 2 years old",7,562111,"Y","Corporation",146589.52,"09/15/2021"
3964,7548288807,"VEG-PAK DIST. CO. INC.","147 New York City Term Mkt","Bronx","NY","10474-5572","03/18/2022","Paid in Full",143322,143322,143322,"Signature Bank","Y","Existing or more than 2 years old",7,484121,"Y","Subchapter S Corporation",144531.4,"02/28/2022"
4420,7514087202,"161 ST PHARMA INC","275 East 161 Street","Bronx","NY","10451-3504","02/18/2022","Paid in Full",142500,142500,142500,"Loan Source Incorporated","Y","Existing or more than 2 years old",11,446110,"Y","Subchapter S Corporation",143870.34,"04/22/2021"
4563,5252167202,"GPJ O'DONOGHUE CONTRACTING CORP.","261 Grand Concourse","Bronx","NY","10451","02/18/2022","Paid in Full",142200,142200,142200,"Loan Source Incorporated","Y","Existing or more than 2 years old",10,236220,"Y","Corporation",143894.71,"07/21/2021"
7785,7787538404,"SECURE RESOURCES & COMMUNICATIONS LLC","1120 Leggett Ave","Bronx","NY","10474-6232","07/15/2022","Paid in Full",136455,136455,136455,"Loan Source Incorporated","Y","Existing or more than 2 years old",35,561612,"Y","Limited  Liability Company(LLC)",138227.05,"06/09/2022"
9387,7825867709,"SKY UP TAX MULTISERVICE, CORP","49 W 170th Street","Bronx","NY","10452","02/18/2022","Paid in Full",133607,133607,133607,"Cross River Bank","Y","Existing or more than 2 years old",9,541213,"Y","Corporation",135825.24,"01/04/2022"
10736,2247167302,"HUNTS POINT SERVICE STATION INC","565 Hunts Point Ave","Bronx","NY","10474","05/21/2021","Paid in Full",131153,131153,131153,"Signature Bank","Y","Existing or more than 2 years old",10,811111,"Y","Corporation",132389.07,"04/16/2021"
11459,6348197308,"LUCIDITY AWARDS AND SIGNAGE COPR","728 East 136th Street","Bronx","NY","10454","06/30/2021","Paid in Full",130000,130000,130000,"TD Bank, National Association","Y","Existing or more than 2 years old",9,423940,"Y","Corporation",131310.83,"05/14/2021"
11589,1108647310,"N. PAGANO PLUMBING AND HEATING CONTRACTORS, INC.","370 E. 134th Street","Bronx","NY","10454","05/18/2021","Paid in Full",129800,129800,129800,"Citibank, N.A.","Y","Existing or more than 2 years old",9,238220,"Y","Subchapter S Corporation",130971.81,"03/30/2021"
11653,1405137306,"INNOVA INTERIORS, INC.","780 E.134 St. 2 floor","Bronx","NY","10454","11/19/2021","Paid in Full",129700,129700,129700,"Citibank, N.A.","Y","Existing or more than 2 years old",14,321999,"Y","Subchapter S Corporation",131569.84,"10/15/2021"
12355,4377457706,"SA MF ENTERPRISES INC-SBA SMALL 7A TERM","541 Barretto Street","Bronx","NY","10474-6724","07/22/2021","Paid in Full",131570,128500,128500,"TD Bank, National Association","N","Existing or more than 2 years old",14,NULL,"Y","Corporation",129909.93,"06/11/2021"
13547,2427397309,"BEST TROPICAL","234 Row B Hunts Point Terminal Market","Bronx","NY","10474","10/20/2021","Paid in Full",126442,126442,126442,"Signature Bank","N","Existing or more than 2 years old",13,424480,"Y","Corporation",128167.15,"09/15/2021"
13826,9386578610,"ANDREA VANEGAS BEAUTY LLL","811 Walton Ave Apt A19","Bronx","NY","10451-2321","12/07/2021","Paid in Full",125970.82,125970.82,125970.82,"Lower East Side People's FCU","Y","Existing or more than 2 years old",5,812112,"N","Single Member LLC",126691.63,"10/27/2021"
14369,4947667310,"RIGGING CONSULTANTS, INC","555 Longfellow Ave.","Bronx","NY","10474","04/17/2021","Paid in Full",125045,125045,125045,"Santander Bank, National Association","Y","Existing or more than 2 years old",10,238910,"Y","Corporation",126137.86,"03/24/2021"
14437,1764838509,"BEST MONITORING LTD","1120 Leggett Ave","Bronx","NY","10474-6232","02/18/2022","Paid in Full",125000,125000,125000,"Loan Source Incorporated","Y","Existing or more than 2 years old",35,561621,"Y","Subchapter S Corporation",126003.42,"12/14/2021"
14463,2188837301,"J & K SEAFOOD INC","800 Food Center Drive, Unit 56","Bronx","NY","10474","08/11/2021","Paid in Full",136400,125000,125000,"Capital One, National Association","Y","Existing or more than 2 years old",5,424460,"Y","Corporation",126465.28,"07/15/2021"
15152,8145168501,"NORTHSIDE INDUSTRIES LLC","1351 E Bay Ave","Bronx","NY","10474-7025","05/25/2022","Paid in Full",124345,124345,124345,"Loan Source Incorporated","Y","Existing or more than 2 years old",9,484220,"Y","Limited  Liability Company(LLC)",125734.94,"04/28/2022"
15730,4867087302,"ADVANCED BRONX DENTAL PLLC","237 Willis Avenue","Bronx","NY","10454","03/18/2022","Paid in Full",123414,123414,123414,"Customers Bank","Y","Existing or more than 2 years old",25,621210,"Y","Corporation",125290.57,"11/17/2021"
16426,7737667109,"BRIGHT PHARMA INC.","142 E 170 Street","Bronx","NY","10452","07/15/2021","Paid in Full",122400,122400,122400,"Live Oak Banking Company","Y","Existing or more than 2 years old",14,446110,"Y","Corporation",123791.67,"06/09/2021"
16499,9065877206,"CHELSEA CONSTRUCTION GROUP LLC","79 Alexander Avenue","Bronx","NY","10454","05/12/2021","Paid in Full",120000,122300,122300,"Hudson Valley CU","Y","Existing or more than 2 years old",6,236117,"Y","Limited  Liability Company(LLC)",123382.27,"04/12/2021"
17413,6223827205,"WASH AND SHINE CAR WASH INC.","169 Lincoln Ave","Bronx","NY","10454-3730","12/18/2021","Paid in Full",120865.45,120865.45,120865.45,"Ponce Bank","Y","Existing or more than 2 years old",25,811192,"Y","Corporation",122719.82,"11/17/2021"
18477,7208297709,"INTEGRITY ELECTRIC CORP","523 Longfellow Ave","Bronx","NY","10474","09/24/2021","Paid in Full",119500,119500,119500,"Citibank, N.A.","Y","Existing or more than 2 years old",12,999990,"Y","Subchapter S Corporation",120980.47,"08/02/2021"
21126,3597178905,"PETERSON MERCHANDISE DISCOUNT INCORPARATED","128 E Clarke Pl Apt 4G","Bronx","NY","10452-7606","07/15/2022","Paid in Full",115617,115617,115617,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",7,448140,"Y","Corporation",116866.5,"06/02/2022"
21332,4471798804,"WILL GROCERY & MEAT INC.","250 Willis Ave","Bronx","NY","10454-2612","10/20/2021","Paid in Full",115327,115327,115327,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",30,445110,"Y","Corporation",115810.48,"09/21/2021"
21384,7333187100,"TUCK IT AWAY ASSOCIATES LTD","945 Summit Avenue 0.0","Bronx","NY","10452-5001","05/21/2021","Paid in Full",115267,115267,115267,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",8,531130,"Y","Subchapter S Corporation",116396.62,"04/12/2021"
22519,4251057709,"GREAT OAKS MECHANICAL, INC.","193 Willow Avenue","Bronx","NY","10454","09/30/2021","Paid in Full",113775,113775,113775,"TD Bank, National Association","Y","Existing or more than 2 years old",12,NULL,"Y","Corporation",115288.84,"08/27/2021"
23285,9423637804,"P. EAST TRADING CORP.","710 Longfellow Avenue","Bronx","NY","10474-6003","07/14/2021","Paid in Full",112646,112646,112646,"Celtic Bank Corporation","Y","Existing or more than 2 years old",19,423990,"Y","Corporation",113812.58,"06/22/2021"
23674,2885407710,"HARLEM GROUP DR CORP.","884 Gerard Ave Comm","Bronx","NY","10452","03/20/2021","Paid in Full",112302,112302,112302,"JPMorgan Chase Bank, National Association","N","Existing or more than 2 years old",20,813920,"Y","Corporation",113191.62,"02/17/2021"
