"id","loannumber","borrowername","borroweraddress","borrowercity","borrowerstate","borrowerzip","loanstatusdate","loanstatus","initialapprovalamount","currentapprovalamount","currentapprovalamount-2","servicinglendername","hubzoneindicator","businessagedescription","jobsreported","naicscode","lmiindicator","businesstype","forgivenessamount","forgivenessdate"
311,1714497106,"S. KATZMAN PRODUCE INC","213 New York City Terminal Market 0.0","Bronx","NY","10474-7302","09/29/2021","Paid in Full",6343100,6343100,6343100,"JPMorgan Chase Bank, National Association","N","Existing or more than 2 years old",348,424480,"Y","Subchapter S Corporation",6427191.89,"08/11/2021"
716,7941677109,"PUBLIC PREP CHARTER SCHOOL ACADEMIES","192 E 151st St","Bronx","NY","10451-5292","06/24/2021","Paid in Full",4301000,4301000,4301000,"CRF Small Business Loan Company, LLC","Y","Existing or more than 2 years old",308,611110,"Y","Non-Profit Organization",4350255.29,"06/17/2021"
1220,1383507101,"NATHEL & NATHEL INC","357 Row C NYC Terminal Market 0.0","Bronx","NY","10474-1255","10/20/2021","Paid in Full",3228537,3228537,3228537,"JPMorgan Chase Bank, National Association","N","Existing or more than 2 years old",158,424480,"Y","Subchapter S Corporation",3274502.4,"09/16/2021"
1332,5157628403,"VIELE MANUFACTURING CORP","1340 Viele Ave","Bronx","NY","10474-7134","04/20/2022","Paid in Full",3062640,3062640,3062640,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",225,326199,"Y","Sole Proprietorship",3000705.77,"03/08/2022"
1796,1858807102,"EAST SIDE HOUSE, INC","337 Alexander Avenue 0.0","Bronx","NY","10454-1108","08/20/2021","Paid in Full",2544217,2544217,2544217,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",297,624229,"Y","Non-Profit Organization",2577045.88,"07/29/2021"
1892,6587308602,"ALLIANCE HOME SERVICES INC","384 E 149th St Ste 600-612","Bronx","NY","10455-3908","04/20/2022","Paid in Full",2458645,2458645,2458645,"JPMorgan Chase Bank, National Association","N","Existing or more than 2 years old",475,621610,"Y","501(c)3 – Non Profit",2481534.98,"03/02/2022"
3590,4765337108,"CIVETTA COUSINS JV, LLC","1100 East 156th Street 0.0","Bronx","NY","10474-6202","11/18/2021","Paid in Full",2885370,1885370,1885370,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",143,238990,"Y","Limited  Liability Company(LLC)",1913392.88,"10/13/2021"
3606,9829168300,"GARY PLASTIC PACKAGING CORP.","1340 Viele Ave","Bronx","NY","10474-7134","01/21/2022","Paid in Full",1882725,1882725,1882725,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",107,326199,"Y","Subchapter S Corporation",1899330.63,"12/23/2021"
4566,6085197207,"HUNTS POINT TERMINAL PRODUCE COOPERATIVE ASSOCIATION, INC","2A New York City Terminal Market","Bronx","NY","10474","07/20/2021","Paid in Full",1631787,1631787,1631787,"Signature Bank","N","Existing or more than 2 years old",105,445230,"Y","Corporation",1649848.42,"06/15/2021"
4672,1661297405,"MOTT HAVEN ACADEMY CHARTER SCHOOL","170 Brown Place","Bronx","NY","10454-4140","07/07/2021","Paid in Full",1608000,1608000,1608000,"immito, LLC","Y","Existing or more than 2 years old",100,611110,"Y","Non-Profit Organization",1625732.67,"06/15/2021"
